bike_latitude,bike_longitude,free_bikes,name_foursquare,distance_foursquare,address_foursquare,name_yelp,review_count,categories,rating,address_yelp,phone,distance_yelp
43.665269,-79.319796,17,Rorschach Brewing,194,"1001 Eastern Ave (Woodfield Rd), Toronto ON M4L 1A8",Maha's,598,"Egyptian, Vegan, Sandwiches",4.0,"226 Greenwood Avenue, Toronto, ON M4L 2R2, Canada",+1 416-462-2703,1005.190034713692
43.665269,-79.319796,17,Rorschach Brewing,194,"1001 Eastern Ave (Woodfield Rd), Toronto ON M4L 1A8",Lahore Tikka House,544,"Halal, Pakistani",3.5,"1365 Gerrard Street E, Toronto, ON M4L 1Z3, Canada",+1 416-406-1668,787.4737977905058
43.665269,-79.319796,17,Rorschach Brewing,194,"1001 Eastern Ave (Woodfield Rd), Toronto ON M4L 1A8",The Burger's Priest,507,Burgers,3.5,"1636 Queen Street E, Toronto, ON M4L 1G3, Canada",+1 647-346-0617,374.2380726403347
43.665269,-79.319796,17,Rorschach Brewing,194,"1001 Eastern Ave (Woodfield Rd), Toronto ON M4L 1A8",Gio Rana's Really Really Nice Restaurant,229,"Italian, Tapas/Small Plates",4.0,"1220 Queen Street East, Toronto, ON M4M 1L7, Canada",+1 416-469-5225,881.124117228234
43.665269,-79.319796,17,Rorschach Brewing,194,"1001 Eastern Ave (Woodfield Rd), Toronto ON M4L 1A8",Udupi Palace,208,"Indian, Vegetarian, Gluten-Free",3.5,"1460 Gerrard Street E, Toronto, ON M4L 2A3, Canada",+1 416-405-8189,839.3962424759334
43.665269,-79.319796,17,The Sidekick,440,"1374 Queen St E (at Greenwood Ave), Toronto ON M4L 1C9",Maha's,598,"Egyptian, Vegan, Sandwiches",4.0,"226 Greenwood Avenue, Toronto, ON M4L 2R2, Canada",+1 416-462-2703,1005.190034713692
43.665269,-79.319796,17,The Sidekick,440,"1374 Queen St E (at Greenwood Ave), Toronto ON M4L 1C9",Lahore Tikka House,544,"Halal, Pakistani",3.5,"1365 Gerrard Street E, Toronto, ON M4L 1Z3, Canada",+1 416-406-1668,787.4737977905058
43.665269,-79.319796,17,The Sidekick,440,"1374 Queen St E (at Greenwood Ave), Toronto ON M4L 1C9",The Burger's Priest,507,Burgers,3.5,"1636 Queen Street E, Toronto, ON M4L 1G3, Canada",+1 647-346-0617,374.2380726403347
43.665269,-79.319796,17,The Sidekick,440,"1374 Queen St E (at Greenwood Ave), Toronto ON M4L 1C9",Gio Rana's Really Really Nice Restaurant,229,"Italian, Tapas/Small Plates",4.0,"1220 Queen Street East, Toronto, ON M4M 1L7, Canada",+1 416-469-5225,881.124117228234
43.665269,-79.319796,17,The Sidekick,440,"1374 Queen St E (at Greenwood Ave), Toronto ON M4L 1C9",Udupi Palace,208,"Indian, Vegetarian, Gluten-Free",3.5,"1460 Gerrard Street E, Toronto, ON M4L 2A3, Canada",+1 416-405-8189,839.3962424759334
43.665269,-79.319796,17,Chino Locos,470,"4 Greenwood Ave (at Queen), Toronto ON M4L 2P4",Maha's,598,"Egyptian, Vegan, Sandwiches",4.0,"226 Greenwood Avenue, Toronto, ON M4L 2R2, Canada",+1 416-462-2703,1005.190034713692
43.665269,-79.319796,17,Chino Locos,470,"4 Greenwood Ave (at Queen), Toronto ON M4L 2P4",Lahore Tikka House,544,"Halal, Pakistani",3.5,"1365 Gerrard Street E, Toronto, ON M4L 1Z3, Canada",+1 416-406-1668,787.4737977905058
43.665269,-79.319796,17,Chino Locos,470,"4 Greenwood Ave (at Queen), Toronto ON M4L 2P4",The Burger's Priest,507,Burgers,3.5,"1636 Queen Street E, Toronto, ON M4L 1G3, Canada",+1 647-346-0617,374.2380726403347
43.665269,-79.319796,17,Chino Locos,470,"4 Greenwood Ave (at Queen), Toronto ON M4L 2P4",Gio Rana's Really Really Nice Restaurant,229,"Italian, Tapas/Small Plates",4.0,"1220 Queen Street East, Toronto, ON M4M 1L7, Canada",+1 416-469-5225,881.124117228234
43.665269,-79.319796,17,Chino Locos,470,"4 Greenwood Ave (at Queen), Toronto ON M4L 2P4",Udupi Palace,208,"Indian, Vegetarian, Gluten-Free",3.5,"1460 Gerrard Street E, Toronto, ON M4L 2A3, Canada",+1 416-405-8189,839.3962424759334
43.665269,-79.319796,17,Hasting Snack Bar,759,"5 Hastings Ave (at Queen St E), Toronto ON M4L 2L1",Maha's,598,"Egyptian, Vegan, Sandwiches",4.0,"226 Greenwood Avenue, Toronto, ON M4L 2R2, Canada",+1 416-462-2703,1005.190034713692
43.665269,-79.319796,17,Hasting Snack Bar,759,"5 Hastings Ave (at Queen St E), Toronto ON M4L 2L1",Lahore Tikka House,544,"Halal, Pakistani",3.5,"1365 Gerrard Street E, Toronto, ON M4L 1Z3, Canada",+1 416-406-1668,787.4737977905058
43.665269,-79.319796,17,Hasting Snack Bar,759,"5 Hastings Ave (at Queen St E), Toronto ON M4L 2L1",The Burger's Priest,507,Burgers,3.5,"1636 Queen Street E, Toronto, ON M4L 1G3, Canada",+1 647-346-0617,374.2380726403347
43.665269,-79.319796,17,Hasting Snack Bar,759,"5 Hastings Ave (at Queen St E), Toronto ON M4L 2L1",Gio Rana's Really Really Nice Restaurant,229,"Italian, Tapas/Small Plates",4.0,"1220 Queen Street East, Toronto, ON M4M 1L7, Canada",+1 416-469-5225,881.124117228234
43.665269,-79.319796,17,Hasting Snack Bar,759,"5 Hastings Ave (at Queen St E), Toronto ON M4L 2L1",Udupi Palace,208,"Indian, Vegetarian, Gluten-Free",3.5,"1460 Gerrard Street E, Toronto, ON M4L 2A3, Canada",+1 416-405-8189,839.3962424759334
43.665269,-79.319796,17,Black Lab Brewing,842,"818 Eastern Ave (Leslie Street), Toronto ON M4L 1A1",Maha's,598,"Egyptian, Vegan, Sandwiches",4.0,"226 Greenwood Avenue, Toronto, ON M4L 2R2, Canada",+1 416-462-2703,1005.190034713692
43.665269,-79.319796,17,Black Lab Brewing,842,"818 Eastern Ave (Leslie Street), Toronto ON M4L 1A1",Lahore Tikka House,544,"Halal, Pakistani",3.5,"1365 Gerrard Street E, Toronto, ON M4L 1Z3, Canada",+1 416-406-1668,787.4737977905058
43.665269,-79.319796,17,Black Lab Brewing,842,"818 Eastern Ave (Leslie Street), Toronto ON M4L 1A1",The Burger's Priest,507,Burgers,3.5,"1636 Queen Street E, Toronto, ON M4L 1G3, Canada",+1 647-346-0617,374.2380726403347
43.665269,-79.319796,17,Black Lab Brewing,842,"818 Eastern Ave (Leslie Street), Toronto ON M4L 1A1",Gio Rana's Really Really Nice Restaurant,229,"Italian, Tapas/Small Plates",4.0,"1220 Queen Street East, Toronto, ON M4M 1L7, Canada",+1 416-469-5225,881.124117228234
43.665269,-79.319796,17,Black Lab Brewing,842,"818 Eastern Ave (Leslie Street), Toronto ON M4L 1A1",Udupi Palace,208,"Indian, Vegetarian, Gluten-Free",3.5,"1460 Gerrard Street E, Toronto, ON M4L 2A3, Canada",+1 416-405-8189,839.3962424759334
43.67142,-79.445947,13,The Greater Good Bar,581,"229 Geary Ave (at Dufferin St), Toronto ON M6H 2C1",Agio,190,Italian,4.5,"1351 St Clair Avenue W, Toronto, ON M6E 1C5, Canada",+1 647-348-4814,646.4712110381079
43.67142,-79.445947,13,The Greater Good Bar,581,"229 Geary Ave (at Dufferin St), Toronto ON M6H 2C1",Khmer Thai Restaurant,139,"Thai, Cambodian",4.0,"1018 St Clair Avenue W, Toronto, ON M6E 1A4, Canada",+1 416-654-0609,1091.4762270896767
